"filename","style","color_palette","materials","lighting","mood","objects","layout","summary"
"victorian_0.jpg","Victorian","greenish blue, white, wooden accents","cedar siding, wood paneling, glass panels, metal fixtures","warm and inviting with a mix of natural light from windows and soft artificial lighting.","welcoming and nostalgic","ornate wood staircase, wooden porch swing, vintage-style lamp on post, antique wooden armoire","two story house with a large central hallway and stairs","Victorian style home with greenish blue exterior, white trim, and wooden accents, featuring ornate woodwork, a wooden porch swing, and vintage-style lighting."
"victorian_1.jpg","Modern Minimalist","gray, white, navy blue","leather, wood, silk","natural soft light from large windows","calm and airy","sofa, coffee table, plant, floor lamp, vase with flowers","open space with central seating area","This living room features a modern minimalist style with neutral grays, white accents, and navy blue for depth. The space includes leather upholstered furniture, wood elements, silk textiles, and is illuminated by natural light from the large windows. The overall mood is calm and airy, with a central seating arrangement that opens to the rest of the home."
"victorian_10.jpg","Modern Coastal","light gray, white, navy blue","wood paneling on walls and ceiling, glass windows and doors, stainless steel appliances","natural sunlight from large windows overlooking ocean","bright, open, and airy","sofa with neutral cushions, coffee table with glass top, framed art on walls, rug on floor","open plan with living room flowing into dining area","This modern coastal home offers a bright and open space that takes full advantage of the ocean view through large windows, with neutral tones and natural materials creating an inviting atmosphere."
"victorian_100.jpg","Traditional","white, beige, grey","stone, brick, wood","Natural light from windows above steps","Serene and peaceful","stone statue, monument, trees, shrubs","Stairs leading to a monument in the middle of courtyard","A traditional stone staircase leading up to a monument set amidst shrubbery and trees, creating a serene and peaceful atmosphere."
"victorian_101.jpg","Contemporary Colonial","light gray, dark brown, navy blue","wood, brick, vinyl siding","natural light with some artificial lighting highlighting architectural features","welcoming and comfortable","front door, potted plant, porch swing, outdoor seating area","two-story home with central entrance hall leading to living room and dining area on the first floor, and bedrooms on the second floor","This two-story contemporary colonial house features a welcoming front porch with outdoor seating. The interior design includes light gray walls, dark brown wood flooring, and navy blue accents."
"victorian_102.jpg","Modern Minimalist","white, gray, black","oak wood, leather, metal","natural soft light from large windows","calm and airy","sofa, coffee table, floor lamp, vase with flowers, rugs","open space with central seating area","This is a modern, minimalist living room with neutral color tones and natural light. The room features oak wood flooring, black leather furniture, and metal accents. A large window allows for soft, natural light to fill the space. A central couch sits on an area rug in front of the fireplace, which adds a warm and cozy ambiance."
"victorian_103.jpg","Modern Minimalist","white, natural wood","wood, linen, metal","bright and natural light from large windows","calm and serene","shelving unit, books, vases, wicker basket","minimalist open space with a central focus on shelving unit","A modern, minimalistic living room with wooden shelves displaying books and decorative vases in an open space with natural lighting."
"victorian_104.jpg","Modern Minimalist","white, light wood, navy blue","wood paneling on walls and ceiling, leather upholstery on furniture, brass accents","well-lit with natural light from windows and a chandelier providing ambient light","sophisticated and inviting","sofa set, coffee table, floor lamp, plant","open concept living area connected to kitchen and dining room","This modern minimalist space exudes a sophisticated yet inviting atmosphere. The color palette is kept neutral, with wood paneling on the walls and ceiling complemented by navy blue accents. The furniture includes leather upholstery for a sleek appearance. Natural light from windows floods in, enhanced by a chandelier providing ambient lighting. The space features an open concept layout that flows seamlessly into the adjacent kitchen and dining room."
"victorian_106.jpg","Victorian","white, light blue, dark green","brick, wood trim, glass","natural light from windows and roof lights","inviting and nostalgic","ornate woodwork, vintage furniture, antique rugs, period light fixtures","2 story with attic, front and rear staircases, and wraparound porch","This Victorian home features a classic design with ornate woodwork, vintage furniture, and natural light streaming through its many windows."
"victorian_108.jpg","Industrial","black, white, brass","wood, leather, glass","natural light from a large window","dark and moody","bar stools, wooden table, cabinet, wine rack","long rectangular space with seating along one side","A dark, industrial-style room with a long wooden table for dining and wine racks lining the walls. The natural light pouring in creates a warm contrast."
"victorian_109.jpg","Scandinavian","white, blue, beige","wood, fabric, glass","natural soft light from large windows","calm and airy","tub, sink, vanity mirror, flowers","open space with central tub area","A serene and bright bathroom design, featuring a freestanding bathtub, natural light, and minimal decor."
"victorian_11.jpg","Victorian","dark gray, light gray, black","wood siding, steel railing, concrete steps","Soft, natural light from the front windows.","Elegant and welcoming.","front door with sidelight windows, small porch, two-tiered deck, railing around the front yard","Central entry, front living room, second floor above.","A two story home featuring a dark gray exterior with wood siding and steel railing. The house has soft, natural lighting from its front windows and an elegant yet welcoming mood."
