"filename","style","color_palette","materials","lighting","mood","objects","layout","summary"
"mediterranean_1.jpg","Modern Minimalist","light gray, white, navy","wood, leather, metal","Recessed lighting and a statement pendant light in the center of the room","Elegant, serene, and inviting","King-size bed with wooden headboard, Two nightstands with lamps on either side, Area rug underfoot, Large abstract artwork above the bed","Open floor plan with bed at the center of a neutral color palette, creating a spacious and cohesive atmosphere","This modern minimalist bedroom features a light gray and white color scheme centered around a large, comfortable king-size bed. The room is furnished with elegant wooden headboard, nightstands with lamps on either side, an area rug underfoot, and a statement pendant light above the bed. A large abstract artwork serves as a focal point above the bed. The neutral color palette and clean lines create an elegant, serene, and inviting atmosphere."
"mediterranean_10.jpg","Modern Minimalist","white, light wood","oak wood, marble, glass","recessed lighting, pendant lights over island","bright and airy","kitchen island, wood cabinets, metal range hood","open layout with central island, flanked by two counters","This kitchen combines modern minimalist design principles with warm wood accents to create a bright and airy space."
"mediterranean_100.jpg","Spanish Mediterranean","tanned, ochre, blue, grey","stucco walls, wooden beams and trusses, concrete floors, stone accents","mixed, with recessed lighting in ceiling and floor lamps providing ambient light.","warm and inviting","large patio door, stair railing, potted plants, vases, large living room sofa, wooden table, area rug","split-level design with main level featuring open concept kitchen, dining and living areas, and upper level accessible via an exterior staircase.","This Spanish Mediterranean-style home combines warm tones of stucco walls with natural stone accents, wooden beams and trusses, and concrete floors. The home is bathed in a mix of recessed lighting and floor lamps, creating a warm atmosphere. The open concept main level seamlessly integrates the kitchen, dining, and living areas, while the upper level offers additional space accessible by an exterior staircase."
"mediterranean_101.jpg","Modern Minimalist","white, beige, natural wood","wood, fabric, glass","Natural soft light from large windows, supplemented by pendant lights","Calm and airy","sofa, coffee table, dining table, chairs, vase","Open space with central seating area flanked by walls of windows","Modern minimalist living room features a warm and airy design with white walls, natural wood accents, and pendant lighting over a large wooden table. Large windows flood the room with soft, natural light."
"mediterranean_102.jpg","Modern Minimalist","white, neutral grays, soft pastels","light-toned wood, woven textiles, marble","recessed lighting and natural soft light from large windows","calm and airy","sofa, coffee table, potted plant, floor lamp, textured throw blanket","open space with central seating area, surrounding by walls that draw focus to one large window","This modern minimalist living room features a neutral color palette, natural light from the large windows, and a calm atmosphere. The light-toned wood and marble add warmth while maintaining a sense of simplicity."
"mediterranean_103.jpg","Modern Minimalist","gray, navy, beige","oak wood, linen, marble","natural soft light from large windows and ceiling chandelier","calm and airy","sofa, coffee table, plant, floor lamp, bookshelf","open space with central seating area surrounding fireplace","Modern living room design featuring a neutral color palette, oak wood accents, and natural lighting."
"mediterranean_104.jpg","Modern Minimalist","grayscale, natural wood tones","marble flooring, oak cabinetry, stainless steel fixtures","recessed LED lights with adjustable ambient light and accent lighting","modern, clean, luxurious","large-format abstract artwork, minimalist sculptural table lamp, black and white cowhide rug","a symmetrical space with a central focal point","This modern minimalist bathroom features sleek marble tile flooring, oak cabinetry, and stainless steel fixtures, all illuminated by recessed LED lights. The color palette is neutral, featuring grayscale tones with natural wood accents, and the design includes a large-format abstract artwork as well as a sculptural table lamp on a black and white cowhide rug."
"mediterranean_105.jpg","Modern","white, wooden tones","stainless steel appliances, wood cabinetry, granite countertops","natural light from windows, and recessed LED under-cabinet lights","bright and spacious, with a focus on clean lines and functionality","gas stove top oven, center island with seating for casual dining or extra prep space, wooden butcher block countertop for food preparation, stainless steel refrigerator freezer combo","open concept kitchen and dining area, connected by a barstool-height island that also functions as additional storage","This modern kitchen is designed for functionality, with an emphasis on open space and clean lines. The wooden cabinetry, stainless steel appliances, and granite countertops give it a warm yet sleek aesthetic."
"mediterranean_106.jpg","Modern Minimalist","white, beige, black","wood paneling, brass hardware, leather upholstery","Natural light from windows and ceiling lights, with a fireplace providing warm ambiance.","Warm and inviting, with a touch of sophistication.","sofa, coffee table, lamp, fireplace, framed art","Open floor plan with a central seating area around a fireplace.","This living space combines modern minimalist design with warm, inviting elements to create an elegant and comfortable atmosphere."
"mediterranean_107.jpg","Modern Minimalist","blue, white, grey","stone tiles, concrete walls, wooden floor","natural light from windows and skylights","serene and inviting","pool, outdoor furniture, plants, tiles around pool","outdoor pool area with patio seating","The image shows a modern minimalist outdoor pool area designed to create a serene and inviting atmosphere. The color palette is composed of blue, white, and grey, which is reflected in the materials used such as stone tiles, concrete walls, and wooden floor. Natural light from windows and skylights fills the space, enhancing its tranquil mood. Key objects include the pool itself, outdoor furniture for lounging, plants to add greenery, and the unique tile design around the pool. The layout features an outdoor patio seating area adjacent to the pool."
"mediterranean_108.jpg","Contemporary","black, white, metallic","glass, wood, metal","Warm and inviting with recessed lighting and overhead lantern","Elegant and sophisticated","vintage-style front door, vase of flowers, sleek modern light fixtures","Front porch with walkway leading to the front door, flanked by lighting and decorative elements.","This entrance combines classic design elements with contemporary style for a welcoming atmosphere."
"mediterranean_109.jpg","Modern Minimalist","white, beige, light wood","wood, fabric","ambient lighting with string lights and natural sunlight","calm and inviting","dining table, bench seating, potted plant, string lights","outdoor patio with dining area centered around a large wooden table","This modern outdoor space combines natural materials and minimalist design elements to create an inviting atmosphere for relaxation and socializing."
"mediterranean_11.jpg","Southwestern","light tan, brown, blue","stone, wood, brick","natural light from large windows and a courtyard light over the door","warm and inviting with rustic charm","large wooden door with arched window above it, stone fireplace under an archway on the right side of the house, several large potted plants in front yard","a single story house with a central entrance, open kitchen and living area, and a separate bedroom wing to the left","This southwestern style home has an inviting atmosphere with warm tones and rustic materials. The courtyard door leads into a welcoming entry hall that extends into the open kitchen and living areas, while the large windows allow for natural light during the day. A separate bedroom wing to the left provides privacy and adds to the functionality of the space."
"mediterranean_110.jpg","Mid-Century Modern","yellow, brown, gray","wood, tile, metal","natural soft light from large windows","warm and cozy","bar stools, coffee table, vintage appliances, mid-century modern art","galley kitchen with center island","A mid-century style kitchen with warm tones, featuring a galley layout and vintage appliances."
