"filename","style","color_palette","materials","lighting","mood","objects","layout","summary"
"shabby-chic-style_0.jpg","Modern","white, black, beige","wood veneer cabinets, stainless steel appliances, plush velvet chairs","natural light from large windows and overhead track lighting","spacious and elegant","dining table with bench seating, statement mirror over sink, plants on shelves","open floor plan connecting kitchen, dining, and living room spaces","This modern home features a clean and minimalist design with an emphasis on natural materials and lighting."
"shabby-chic-style_1.jpg","Scandinavian","white, gray, blue","wood, linen, canvas","natural soft light from large windows","calm and airy","bed, bedside table, throw pillows, lamps","open space with central seating area","This bedroom features a Scandinavian design with a light gray color palette, wood and linen materials, and a mix of natural and ambient lighting. The room is calm and airy, creating an open feeling with a comfortable sitting area."
"shabby-chic-style_10.jpg","Modern Minimalist","brass, white, clear","metal, glass, wood","natural soft light from large windows","calm and airy","chandelier, cabinets, table, countertop","open space with central seating area","This interior design image displays a modern minimalist style with a calming atmosphere created by the use of natural light and simple, elegant furnishings."
"shabby-chic-style_100.jpg","Modern Minimalist","white, light grey, pink","wood, linen, metal","natural soft light from large windows","calm and airy","bed, nightstand, frame, plant","spacious bedroom with a large bed as the centerpiece","This is a modern minimalist-style bedroom with a calming white and pink color palette. The room features a large bed with a wooden frame, nightstands made of wood and linen materials, and windows that let in natural light. A plant adds a touch of greenery to the space."
"shabby-chic-style_101.jpg","Scandinavian","white, beige, gray, blue","wood, linen, leather, metal","natural light from large windows, complemented by pendant lights","bright and airy","sofa, coffee table, floor lamp, side tables, area rug","open space with central seating area","Modern Scandinavian living room featuring a clean, monochromatic color scheme, natural lighting, and comfortable furnishings."
"shabby-chic-style_102.jpg","Modern Wine Cellar","dark green, rusty brown, light wood","wood, metal, concrete, brick","natural light from windows, artificial ambient lights","refined and sophisticated","wine rack, barrels, wine glasses, light fixtures","rectangular space with straight lines and organized layout","A modern wine cellar featuring a dark green color palette, wood and metal materials, natural light from windows, and a refined mood."
"shabby-chic-style_103.jpg","Modern Minimalist","white, navy, gold","steel, leather, crystal","bright and natural from large windows","sophisticated and modern","sofa, coffee table, modern art print, abstract sculpture, statement piece","open space with central seating area","The interior features a bright and sophisticated Modern Minimalist design. The color palette is dominated by white, navy, and gold, creating a clean and elegant look. Steel and leather materials contribute to the contemporary feel, while crystal accents add a touch of luxury."
"shabby-chic-style_105.jpg","Scandinavian","white, beige, light wood","oak wood, linen, white paint","natural soft light from large windows","calm and airy","wooden bed frame, pillows with blue and white stripes, small wooden chair, dolls on the bed, framed photo of baby on wall","clean, minimal space layout with bed as central focus","A serene Scandinavian-style bedroom with a light wooden color palette and an emphasis on natural lighting."
"shabby-chic-style_106.jpg","Bohemian","pink, white, beige","wooden bed frame, velvet pillows, woven rug","soft and warm lighting from table lamps","romantic and dreamy","bed with canopy, pink floral patterned throw blanket, white candles, silk pillowcases","small room with bed as the centerpiece, flanked by mirrors on both sides","A romantic bohemian style bedroom featuring a canopy bed and pink accents. The space is well-lit by table lamps and uses materials like velvet and wood to create a warm and dreamy atmosphere."
"shabby-chic-style_107.jpg","Scandinavian","white, gray, black","wood, glass, stainless steel","natural soft light from large windows","bright and airy","kitchen island, hanging pendant lights, wooden bar stools, stainless steel refrigerator","open space with central seating area and kitchen island","This is a modern Scandinavian-style kitchen with a focus on clean lines, neutral colors, and natural light. The space features an open layout that integrates the dining area into the kitchen, creating a bright and airy atmosphere."
"shabby-chic-style_108.jpg","Modern Minimalist","white, beige, light wood","laminate countertops, metal handles and fixtures, wood cabinets","well-lit with natural light from two windows","clean, bright, and uncluttered","white kitchen cabinetry, stainless steel appliances, colorful backsplash","linear layout with a countertop island in the center","This modern kitchen features clean lines, minimalist design elements, and a colorful backsplash that adds warmth to the space."
"shabby-chic-style_109.jpg","Modern","blue, white, gray","glass, wood, fabric","bright and well-lit","clean, open, and inviting","couch, coffee table, vase with flowers, framed artwork, area rug","open concept living room with a seating area at the center","This modern living room features a clean and inviting design with bright lighting, neutral colors, and well-placed furniture."
"shabby-chic-style_111.jpg","Modern Minimalist","white, beige, wood, black","oak wood, linen, concrete, steel","natural soft light from large windows","calm and airy","bed, nightstand, lamp, bookcase, couch","small room with a bed in the corner and other furniture along the walls","A modern minimalist style room with wood accents, featuring a white bed in a cozy nook."
"shabby-chic-style_112.jpg","Modern Minimalist","white, light wood, gray","wood paneling, brass hardware, stone tile, fabric upholstery","soft and warm ambient lighting from recessed lights, complemented by floor lamps and chandeliers","luxurious and elegant","couches, armchairs, coffee table, floor lamps, chandelier, area rug","open concept with high ceilings, arched doorways, and a central staircase leading to the upper level","This luxurious modern home features an open-concept design with an elegant color palette of white, light wood, and gray, complemented by wood paneling, brass hardware, stone tile, and fabric upholstery. The soft ambient lighting is enhanced by recessed lights, floor lamps, and chandeliers, creating a warm and inviting atmosphere. Arched doorways and high ceilings contribute to the spacious feeling of the house, while the central staircase adds architectural interest."
"shabby-chic-style_113.jpg","Modern Minimalist","white, beige, grey","oak wood, glass shelves, steel, brass","natural soft light from large windows and glass doors","calm and organized","sofa, coffee table, plant, floor lamp, bookshelves, cushions","open space with central seating area, flanked by bookshelves on both sides of the wall","The interior design is modern and minimalist, featuring a soothing color palette with oak wood accents. Natural light streams in through large windows and glass doors, illuminating the space and creating a calm atmosphere. The seating area is centered around a sofa and coffee table, flanked by bookshelves that showcase a variety of items, contributing to a cozy yet uncluttered environment."
"shabby-chic-style_115.jpg","Modern Minimalist","white, beige, light wood","brick, wood, candle wax","warm and ambient lighting from candles on mantel","cozy and festive","fireplace, stockings, garland, candles","clean lines with decorative fireplace as focal point","The space is a modern, minimalist living area that focuses on warmth and simplicity during the holiday season."
