filename,style,color_palette,materials,lighting,mood,objects,layout,summary,style_group,mood_group,lighting_group,room_type,is_bedroom
asian_1.jpg,Eastern Asian,"dark red, gold, black","silk, wood, marble","dim and ambient, with recessed lighting accentuating architectural details",opulent and luxurious,"large bed, high back sofa, low table, ornate chandelier","oriental design with multiple seating areas, including a large round bed in the center surrounded by high-backed sofas","This luxurious bedroom features an oriental design theme, with rich and vibrant colors complementing opulent materials such as silk and marble. The room is dimly lit to create a serene atmosphere that emphasizes its architectural elements. High back sofas and ornate chandeliers contribute to the space's grandeur and sophistication.",Asian/Zen,Luxurious/Elegant,Recessed,Bedroom,TRUE
asian_101.jpg,Contemporary,"white, beige, dark brown","wood, fabric, glass",soft ambient lighting with accent from overhead track lighting.,comfortable and inviting,"king-size bed, sofa, armchair, coffee table, side tables, potted plants",open floor plan with living area adjacent to sleeping quarters.,This modern interior design features a cozy and stylish retreat with a focus on comfort and relaxation.,Contemporary,Warm/Cozy,Ambient/Soft,Living Room,TRUE
asian_110.jpg,Modern Minimalist,"white, beige, light wood","velvet upholstery, linen bedding, silk drapery",dimmable recessed lighting and ambient floor lamps,luxurious and serene,"king-size bed with patterned bedspread, two wooden nightstands with lamps, chaise lounge",open concept space with seating area separated by a coffee table,"Elegantly designed hotel suite featuring modern, minimalist decor and an emphasis on luxurious fabrics and soft lighting.",Minimalist,Calm/Serene,Recessed,Bedroom,TRUE
asian_115.jpg,Scandinavian,"white, navy blue, orange","wood, felt, metal",natural soft light from large windows and ceiling lamp,calm and airy,"queen-sized bed, coffee table with decorative box, modern floor lamp, colorful area rug, hanging abstract art","open space with central seating area around bed, flanked by nightstands and windows on either side","This modern Scandinavian-style room features a queen-sized bed with a cozy felt blanket, an orange accent wall, and natural light streaming in from large windows. The space is filled with comfortable furniture like a coffee table and floor lamp, contributing to a serene and inviting atmosphere.",Scandinavian,Calm/Serene,Natural (Window),Bedroom,TRUE
asian_154.jpg,Modern Minimalist,"light gray, dark gray, natural wood","granite stone pavers, wood-frame glass doors, black slate roofing","soft, natural light from full-height windows",calm and serene,"sofa with dark cushions, cubed stepping stones in gravel, large rectangular planter with bamboo",linear walkway leading to central seating area under pergola,"Modern minimalist design creates a tranquil patio space using gray stone, natural wood accents, and soft lighting.",Minimalist,Calm/Serene,Natural (Window),Bedroom,TRUE
asian_157.jpg,Modern Minimalist,"teal, white, gray","wood, metal, fabric",bright and airy with natural light,modern yet warm and inviting,"couch, bed, floor lamp, artwork, plant",open plan with separate bedroom area,"A modern minimalist living space featuring a teal wall, wood accents, natural lighting, and comfortable seating.",Minimalist,Warm/Cozy,Natural,Bedroom,TRUE
asian_185.jpg,Scandinavian,"blue, brown, white","wood, fabric, glass",natural light from window and warm ambient light from lamp,calm and cozy,"bed, dresser, lamp, framed artwork","small bedroom with a central bed, flanked by dresser on left and lamp on right","This Scandinavian-style room is decorated in soothing blue tones, featuring wooden furniture and framed artwork, creating a warm and cozy atmosphere.",Scandinavian,Calm/Serene,Natural (Window),Bedroom,TRUE
asian_197.jpg,Modern Minimalist,"light blue, white, dark wood","wood, fabric, marble, metal",bright and even light from recessed ceiling lights,calm and inviting,"king-size bed, bedside table, plant, modern artwork",open space with central seating area around large windows,"A stylish modern bedroom featuring a minimalist design with light blue walls, a king-size bed, and contemporary furnishings.",Minimalist,Calm/Serene,Recessed,Bedroom,TRUE
asian_199.jpg,Modern,"white, gray, black","fabric, wood, metal",bright with natural light from large window,calm and elegant,"bed, nightstands, lamp, curtains",spacious bedroom with clean lines and symmetry,This modern bedroom combines a minimalist design with bold black accents for a sophisticated look.,Modern,Calm/Serene,Natural (Window),Bedroom,TRUE
asian_209.jpg,Modern Minimalist,"white, beige, light wood","oak wood, linen, steel",natural soft light from large windows,calm and airy,"bed, nightstands, lamp, curtains","a bedroom with a central bed positioned between two nightstands, with curtains on either side for window coverings.",A neatly arranged modern minimalist bedroom with a serene mood created by the use of light wood and white color tones.,Minimalist,Calm/Serene,Natural (Window),Bedroom,TRUE
asian_210.jpg,Modern Minimalist,"white, beige, light wood","oak wood, linen, steel",natural soft light from large windows,calm and airy,"tub, vanity with mirror, shelving, chandelier","space is curved, creating a seamless transition between bathroom and bedroom",The modern minimalist design of this bathroom creates a clean and serene atmosphere while maintaining the functionality of a luxurious spa-like experience.,Minimalist,Calm/Serene,Natural (Window),Bedroom,TRUE
asian_231.jpg,Modern Minimalist,"red, white, dark wood","wood, linen, glass",natural soft light from large windows and recessed ceiling lights,warm and cozy,"king size bed, sofa with red throw pillows, black dresser with mirror on top, white chair","open space with central seating area, flanked by two beds.","This modern hotel room features a minimalist design with warm, inviting colors. The bed is the centerpiece, with multiple beds and seating areas arranged around it.",Minimalist,Warm/Cozy,Natural (Window),Bedroom,TRUE
asian_232.jpg,Modern Minimalist,"navy blue, white, gold accent","leather upholstery, wooden bed frame, velvet throw pillows","dimmable ceiling lights, floor lamps",luxurious and elegant,"king size leather headboard, navy blue throw blanket, floor lamp with a navy shade","modern bedroom layout with king size bed in center, sitting area to one side",This is a modern and minimalist bedroom design featuring dark blue leather accents against a white background for a luxurious and elegant feel.,Minimalist,Luxurious/Elegant,Ambient/Soft,Bedroom,TRUE
asian_238.jpg,Traditional Cottage,"green, beige, yellow","wood, stone, plants",Natural sunlight filtering through the trees and bushes,"Calming, cozy, and peaceful","circular stone fountain, small flower bed with yellow flowers, wooden bench","Circular garden area with central stone fountain, bordered by flowering plants and bushes","This serene outdoor space is an inviting place to sit, relax, and enjoy the soothing sounds of a small stone fountain amidst the surrounding natural beauty.",Traditional/Vintage,Calm/Serene,Natural,Bedroom,TRUE
asian_240.jpg,Scandinavian,"blue, red, white","wood, linen, silk",natural light from a large window above the bed,calm and serene,"bed, rugg, nightstand, pillows",a cozy loft space with a large bed as the focal point,"This bedroom features a Scandinavian style with bold colors and simple lines, making it feel airy and inviting. The wooden bed frame adds a touch of rustic charm, while the linen upholstered headboard gives a soft contrast to the red accent pillows.",Scandinavian,Calm/Serene,Natural (Window),Bedroom,TRUE
asian_248.jpg,Modern Minimalist,"neutral tones, minimal color accents","wood paneling, fabric textiles, metal fixtures",natural soft light from large windows,calm and airy,"bed with linens, low-profile bedside tables, artwork on wall, floor lamp","space is well-organized, with a distinct separation between sleeping area and sitting area","The room's design is minimalist in nature, focusing on clean lines and a neutral color palette. The furniture arrangement is carefully considered to maximize space efficiency while maintaining a sense of comfort and elegance.",Minimalist,Calm/Serene,Natural (Window),Bedroom,TRUE
asian_279.jpg,Scandinavian,"blue, white, brown","wood, linen, glass",warm ambient light from ceiling fan and natural sunlight streaming in through windows,calm and cozy,"bed, nightstand, window, ceiling fan","spacious, open layout with bed at the center of the room","A serene Scandinavian-style bedroom with a blue color palette and warm lighting. The room features wooden furniture, linen textiles, and a large window for natural light.",Scandinavian,Calm/Serene,Natural (Window),Bedroom,TRUE
