"filename","style","color_palette","materials","lighting","mood","objects","layout","summary"
"scandinavian_0.jpg","Modern","white, gray, navy","oak wood, steel, linen","ambient with under-cabinet lighting and a large window for natural light","modern and sleek, with a touch of warmth from the wood accents","sofa, coffee table, plant, floor lamp","open concept layout with an island in the center","This modern kitchen design features oak cabinetry, steel appliances, and a mix of grays and whites for a sleek yet warm atmosphere."
"scandinavian_1.jpg","Scandinavian","white, beige, light wood","wood, fabric, glass","natural soft light from large windows","calm and cozy","table, chairs, couch, vase, potted plant, bookshelf","open space with central seating area","This is a Scandinavian-style kitchen and dining room combination. The design features white walls, beige cabinets, and light wood floors to create a warm and inviting atmosphere. Natural light from the large windows contributes to the cozy ambiance. The space includes a wooden table surrounded by chairs for dining, as well as a comfortable couch for relaxation in front of a bookshelf. A vase with flowers adds a touch of life to the room."
"scandinavian_10.jpg","Scandinavian","light wood, white, dark blue","cedar siding, wooden ceiling beams, glazing","natural soft light from large windows","warm and cozy","sofa, coffee table, plant, floor lamp, bookshelf, throw blanket, dining table","open space with central seating area, flanked by dining area and bedrooms on sides.","A Scandinavian-style cabin with a light wood palette, featuring wooden siding, wooden ceiling beams, and large windows allowing natural light to fill the space. The interior is warm and cozy, with a comfortable sofa for seating, a coffee table for drinks and snacks, a plant adding life, a floor lamp for ambient lighting, and a bookshelf full of books. Adjacent to the living area is a dining space with a table and chairs for meals, surrounded by windows that offer views of the forest beyond. The bedrooms on either side of the cabin provide privacy while maintaining the open feeling of the main space."
"scandinavian_101.jpg","Modern Minimalist","beige, light wood, gray","wood, linen, leather","natural light from large windows, complemented by ambient and accent lighting","calm and serene","queen-size bed, nightstand with lamp, artwork on wall, floor rug","open space with central seating area created by two beds positioned back to back","This modern, minimalist hotel room features a warm beige color palette, with natural lighting creating a serene atmosphere."
"scandinavian_102.jpg","Modern Minimalist","white, gray, wood","wood, metal, leather, marble","recessed lighting with ambient and task lighting","clean, sleek, and contemporary","island, bar stools, potted plant, modern pendant lights","open concept layout featuring large kitchen island as focal point","This modern kitchen design combines minimalism with functionality, offering ample space for cooking and socializing, while maintaining a contemporary look."
"scandinavian_103.jpg","Scandinavian","white, beige, light wood","wood, linen, wicker, brass","natural soft light from large windows and floor lamp","calm and airy","sofa, coffee table, plant, floor lamp, bed, nightstands, rug","open space with central seating area around a large window and bed at the end of the room","A bright and clean Scandinavian-style bedroom with natural wood tones, linen textures, wicker accents, and a minimalist design."
"scandinavian_104.jpg","Modern Farmhouse","white, gold, wood","wood, marble, metal","natural light from large windows and recessed lights","warm and inviting","center island, hanging pendant lights, kitchen island flowers, vintage-style sink","open concept with kitchen open to living room and dining area","This modern farmhouse kitchen exudes warmth and a welcoming ambiance, featuring an open layout that connects it to the adjacent living and dining spaces. The design is anchored by a white and gold color scheme, with natural wood accents providing a touch of rustic charm. A large center island serves as both a practical workspace and a stylish focal point, while hanging pendant lights add a pop of shine. The space is filled with thoughtful details like vintage-style fixtures that add character."
"scandinavian_105.jpg","Modern","white, black, gray","concrete, wood, metal","recessed lighting with adjustable track lights on ceiling","clean and contemporary","stainless steel kitchen appliances, white countertops, gray cabinetry, modern pendant light","kitchen layout features a central island with sink, open shelving on one wall and a refrigerator opposite. The space has a bright and airy feel.","This modern kitchen design is characterized by minimalistic aesthetics with clean lines and a palette of black, white, and gray. Highlights include stainless steel appliances, concrete countertops, a central island, and recessed lighting that provides adjustable track lighting on the ceiling."
"scandinavian_106.jpg","Modern","white, wood, black","tile, wood, metal","natural light from large windows and recessed lights in ceiling","clean and bright with a touch of rustic warmth","shower curtain, toilet, sink, vanity mirror","efficient small bathroom layout with separate shower and toilet area, wood cabinet for storage","This is a modern bathroom design with clean lines, a blend of tile and wood materials, and an efficient use of space."
"scandinavian_107.jpg","Modern Minimalist","beige, white, light wood","wood, linen, cork","soft natural light from large windows","calm and airy","baskets, toiletries, potted plant","modular storage shelves along wall in bathroom","The bathroom features a Modern Minimalist design with a beige color palette, wood finishes, linen textiles and cork accents. Natural light from large windows creates a calm and airy atmosphere. The storage shelves hold baskets filled with toiletries and a potted plant adds a touch of greenery."
