"filename","style","color_palette","materials","lighting","mood","objects","layout","summary"
"coastal_0.jpg","Modern","dark blue, white, wood","wood, fabric, metal","natural light from windows","contemporary and minimalistic","bookshelf, plants, vases, books, bowl","open space with shelving unit along wall","The interior design features a dark blue shelving unit with books, vases, and plants, creating a contemporary and minimalistic feel. The material palette includes wood for the bookshelf, fabric, and metal accents."
"coastal_1.jpg","Modern Minimalist","white, beige, black","tiles, wood, metal","soft, natural lighting","calm and airy","tub, table with plant, bottle of lotion, hand towel on bar, vase with flowers","clean lines, minimalistic design","A modern, clean bathroom featuring a tub, natural lighting, and minimal decor."
"coastal_10.jpg","Scandinavian","white, gray, navy","stainless steel, marble, wood","The kitchen is well lit with natural light from the windows.","Calm and minimalistic","cooker, sink, refrigerator, shelves, cabinets","A clean, open floor plan with a separate area for dining or cooking.","This kitchen combines modern appliances and furniture with minimalistic design elements to create a serene atmosphere."
"coastal_100.jpg","Scandinavian","blue, white, wood","natural wood, linen, brass","soft, natural light from windows above sink","clean, serene, and modern","kitchen island, subway tile backsplash, stainless steel faucet","small galley kitchen with central island","A clean, modern Scandinavian-style kitchen with a central island and white subway tiles."
"coastal_102.jpg","Modern Minimalist","white, beige, light wood","oak wood, linen, concrete","natural soft light from large windows","calm and airy","dining table, chairs, lamps, wine rack, plants","open space with central seating area","Modern minimalist dining room featuring light wood and white tones, a large window allowing for natural light, a comfortable lounge chair, chic lamping, and a wine rack for added sophistication."
"coastal_103.jpg","Modern Minimalist","white, beige, black","glass block tile, stainless steel fixtures","bright and evenly distributed","clean and serene","shower head, shower caddy, bath mat, sink vanity","angular space with no door","A modern, minimalist bathroom featuring a glass block tile wall and stainless steel fixtures."
"coastal_104.jpg","Scandinavian","white, beige, light wood","wood, marble, stainless steel","natural soft light from large windows and recessed ceiling lights","bright and airy with a warm touch","bar stools, center island, dining table, kitchen hood","open space with central seating area around kitchen island and dining table","This modern kitchen features a Scandinavian design with natural materials, bright lighting, and an open layout that connects the living space."
"coastal_106.jpg","Modern Minimalist","white, gray","wood, fabric, glass","natural soft light from large windows","calm and airy","sofa, coffee table, lamp, couch, chair","open space with central seating area","This modern minimalist living room features a white and gray color palette, with wood flooring and fabric upholstery. The layout has an open feel with a central seating arrangement that includes a sofa, coffee table, chair, and couch."
"coastal_107.jpg","Modern","gray, green, yellow","wood, metal, glass","Natural light filtering through the trees and plants.","Peaceful and serene.","staircase, doorway, trees, bushes","Open space leading to another area with steps made of stone pavers.","A modern, open courtyard entrance featuring a doorway made of wood and metal with natural light illuminating the space."
"coastal_108.jpg","Modern","white, black, gray","brick, wood, fabric","natural and ambient lighting from multiple sources","warm and inviting","modern sofa with cushions, rectangular coffee table, flat-screen television, large wreath, contemporary floor lamp","open concept living room with seating area centered on rug","This modern living room combines rustic and contemporary elements, offering a warm and inviting atmosphere. The space is filled with soft textures and materials such as brick, wood, and fabric, and features a mix of neutral and monochromatic colors."
"coastal_109.jpg","Modern Minimalist","white, beige, navy blue","metal, wood, fabric","soft natural light from a large window","calm and serene","black metal bed frame, red patterned blanket, blue pillow, white sham, worn leather armchair","an open space with minimal furniture, centered around a large window","This bedroom combines modern minimalist design with soft colors and natural lighting to create a serene and calm atmosphere."
"coastal_11.jpg","Scandinavian","light gray, beige, natural wood","wood, linen, metal, glass","bright and natural light from large windows and skylights","calm and airy","white refrigerator, stainless steel sink, potted plant, modern pendant lights","open space with a central kitchen island","This modern kitchen design features a Scandinavian style with a light gray palette, natural wood accents, and stainless steel appliances. The room is well-lit by large windows and skylights, creating an open and airy atmosphere."
"coastal_110.jpg","Modern Minimalist","white, gray, black","tile, concrete, stainless steel","well-lit with bright white lights and dark shadow areas","clean and sleek, with a sense of luxury","shower caddy, shampoo holder, toothbrush holder","small space layout maximizing functionality","A small modern bathroom designed for efficiency and style."
"coastal_111.jpg","Modern Minimalist","white, beige, light wood","oak wood, linen, glass","natural soft light from large windows","calm and airy","sofa, coffee table, plant, floor lamp","open space with central seating area","This living room features a modern minimalist design with a neutral color palette, oak wood flooring, linen and glass materials. Large windows allow for natural light to brighten the space, creating a calm and airy atmosphere. The room is furnished with a sofa, coffee table, plant, and floor lamp."
"coastal_112.jpg","Modern Minimalist","white, gray, wood","steel, marble, leather","soft, natural light with accents of recessed lighting and chandelier","calm and serene","sofa, coffee table, flat screen TV, floor lamp, plant","open concept layout with a central seating area","This modern living room features a minimalist design with a clean, white color palette. The space is accented with wood and steel materials, creating an elegant yet cozy atmosphere. The open concept layout enhances the feeling of spaciousness."
"coastal_113.jpg","Modern Minimalist","white, gray, black","glass shower enclosure, marble flooring, wood cabinetry","overhead recessed lighting and a wall sconce","clean, minimalistic, spa-like","shower caddy, towel rack, soap dispenser","an L-shaped layout with shower on one side and sink and vanity area on the other side","This modern bathroom features a glass shower enclosure, wood cabinetry, marble flooring, and minimalistic design elements."
"coastal_114.jpg","Modern Minimalist","black, white, brass","wood, glass, metal","natural soft light from large windows","calm and airy","cabinet, sink, mirror, vase","open space with central seating area","This is a modern bathroom design that focuses on minimalism and clean lines, featuring a color palette of black, white, and brass. The materials used are wood for the cabinet and countertops, glass for the backsplash and shower enclosure, and metal for the faucets and towel rack. Natural light fills the space, creating a calm and airy atmosphere."
"coastal_115.jpg","Scandinavian","white, natural wood","wood paneling, stone tile, blue velvet","sunlit with natural light filtering through ceiling vents","calm and inviting","bench, cabinet, coat rack, framed artwork","long hallway leading to storage spaces","A long, light-filled hallway with minimalist design elements and storage space."
"coastal_116.jpg","Modern","white, gray, light blue","wooden planks, linen, metal","natural and ambient lighting with additional track lighting","comfortable and inviting","couch, coffee table, sectional sofa, floor lamp, throw pillows","open floor plan with a central focus on the entertainment area","This modern living room features an open floor plan, white and gray color palette, wooden accents, and comfortable seating. Natural light streams in through the large windows, creating a bright and airy atmosphere."
"coastal_117.jpg","Modern Minimalist","white, beige, light wood, blue","oak wood, linen, glass, steel","natural soft light from large windows with ceiling chandelier","calm and airy","sofa, coffee table, plant, floor lamp, large artwork on wall","open space with central seating area, surrounded by large windows and chandelier hanging from ceiling","This modern minimalist living room has a light color palette with natural wood accents and white linens. The furniture is arranged around a central coffee table on an oak wood floor. Lighting is soft, coming in through the large windows and complemented by a chandelier hanging from the ceiling."
"coastal_12.jpg","Modern Minimalist","white, beige, light wood","oak wood, linen, stainless steel","bright and natural light from large windows","clean and airy","washer, dryer, towel rack, laundry basket, iron and ironing board","small laundry room with washer-dryer combo","This is a small, modern laundry room that features minimalist decor with oak wood and white accents. The room has a bright, airy feel due to the large windows, which also allow for natural light. The space includes a washer-dryer combo, as well as essential laundry equipment such as a towel rack, laundry basket, and ironing board."
