"filename","style","color_palette","materials","lighting","mood","objects","layout","summary"
"craftsman_0.jpg","Scandinavian","white, blue, green","wooden flooring, stone wall, brick chimney","natural light from windows with white window panes","warm and cozy","white sofa, blue armchair, wooden coffee table, green plant in corner, black fireplace","open space with central seating area and wood-burning stove as focal point","This is a cozy Scandinavian style home that uses white, blue, and green accent colors. It has wooden flooring, a stone wall, and a brick chimney. The layout features an open space with a central seating area and a wood-burning stove as the focal point."
"craftsman_1.jpg","Modern Minimalist","light wood, white, gray","wood, metal, stone","soft and warm recessed lighting","modern and inviting","built-in fireplace, wooden console table, black leather armchair, abstract artwork, metal floor lamp","open space with a central focus on the fireplace","This living room exudes modern minimalist style with its light wood finishes, gray accents, and sleek metal and stone materials. The soft recessed lighting creates a warm atmosphere while the large built-in fireplace serves as a focal point in the open space."
"craftsman_10.jpg","Cottage","gray, white, brown","wood, vinyl siding, concrete","Natural light from windows and overhead fixtures","Warm and welcoming","Front door, Potted plants, Mailbox","Straightforward layout with front door centrally located.","A simple, one-car garage that is integrated into the main house. The design has a cottage style feel, using natural materials and colors."
"craftsman_103.jpg","Modern Minimalist","dark brown, beige, light wood","leather, wood, metal, glass","recessed ceiling lights and a chandelier","luxurious and sophisticated","sofa, coffee table, floor lamp, dining table, chairs","formal dining room with open kitchen area","This modern living space features a luxurious minimalist design, focusing on leather and wood textures and recessed lighting to create an elegant atmosphere."
"craftsman_104.jpg","Scandinavian","red, white, beige","wood, linen, metal","natural soft light from large windows","warm and cozy","sofa, dining table, chairs, plant, vase","open space with central seating area","This is a Scandinavian-style living and dining room featuring red walls, white trim, beige accents, wood furniture, linen upholstery, and metal elements. The room has a cozy atmosphere due to the large windows that allow natural soft light in."
"craftsman_105.jpg","Scandinavian","white, blue, wood accents","oak wood, linen, brass","natural soft light from large windows and ceiling lights","calm and airy","countertop with decorative bowls and utensils, plant in white vase, white mug on countertop","open space kitchen with dining area and island","A clean, bright Scandinavian kitchen with natural lighting, wood accents, and minimalist decor."
"craftsman_106.jpg","Craftsman","dark wood, light wood, beige","wood, tile, porcelain","ambient with task lighting provided by overhead fixtures and under-cabinet lights","warm and welcoming","kitchen island, oak cabinets, cooktop range, stainless steel appliances","galley style with efficient use of space for cooking and food preparation","This kitchen combines traditional craftsman elements with modern functionality, featuring a warm color palette and high-quality materials."
"craftsman_107.jpg","Scandinavian","white, light wood, gray","wood, cotton","natural soft light from large windows","calm and airy","sofa, coffee table, floor lamp, framed artwork, throw pillows","open space with central seating area","This living room has a Scandinavian design style, featuring a light color palette and natural materials. The room is bright and airy, with a comfortable couch set in the center, flanked by a floor lamp and a framed artwork on the wall. Large windows allow for ample natural light to fill the space."
"craftsman_108.jpg","Modern","white, light wood, stainless steel","oak wood, porcelain, steel","soft and even light from recessed LED lights","calm and clean","shower head, bathtub faucet, sink faucet, towel rack, large mirror","bathroom with standalone shower, vanity with sink","This modern bathroom features an all-white color scheme and a mix of wood and metal materials. The layout is designed for efficiency and style, with essential fixtures such as the shower head, bathtub faucet, and sink faucet clearly visible."
"craftsman_109.jpg","Scandinavian","white, wood, metal","wood, marble, stainless steel","bright and natural from large windows","airy and calm","kitchen island, range hood, potted plant, coffee maker, bowl of fruit","open-concept with kitchen as central focus","A modern Scandinavian kitchen with an open layout, featuring wood cabinetry, stainless steel appliances and a large island that serves as the heart of the space."
"craftsman_11.jpg","Modern Minimalist","gray, white, wood","wood, steel, stone","natural soft light from large windows and ceiling lights","calm and airy","sectional sofa, coffee table, plant, floor lamp","open space with central seating area","This modern minimalist living room is designed for comfort with a focus on clean lines and natural materials."
"craftsman_110.jpg","Modern","brown, gray","wood, metal","Under-cabinet lighting provides ample illumination.","Airy and clean, with a touch of rustic charm.","kitchen island, drawer units, sink","Open concept design featuring an L-shaped countertop.","This kitchen combines modern and traditional elements for a functional yet elegant space."
"craftsman_111.jpg","Scandinavian","white, beige, light wood","oak wood, porcelain, brass","Natural soft light from large windows and under-cabinet lights.","Bright and airy, with a modern feel to the design.","kitchen island, black stove top oven, modern pendant lights, white marble countertops","Open plan layout with kitchen and dining area sharing the same space.",""
"craftsman_113.jpg","Modern Minimalist","gray, white, wood","wood, marble, stainless steel","natural soft light from large windows","calm and airy","large island, freestanding stove, vase with flowers, metal range hood, woven rug","open space with central kitchen island","This modern minimalist kitchen features a sleek, clean design with gray cabinetry and wood accents. The spacious layout includes a large center island for cooking and dining, and natural light streams in through the large windows."
"craftsman_114.jpg","Modern Minimalist","white, black, blue","wood, metal, glass","natural soft light from large windows","calm and airy","sofa, coffee table, plant, floor lamp, couch","open space with central seating area","A modern minimalist living room featuring a mix of wood, metal and glass elements, creating a calm and airy atmosphere."
"craftsman_115.jpg","Modern","gray, white, wood","wood siding, concrete driveway, steel railings","bright natural light from windows and outdoor lights","clean, open, and inviting","modern sofa, neutral colored rug, minimalist coffee table, large framed artwork, sleek floor lamp","two-story house with spacious living room flowing into dining area","This modern two-story home features a welcoming front porch, natural wood siding, and an open layout that connects the living and dining spaces. The design emphasizes clean lines and bright lighting to create a comfortable and inviting atmosphere."
"craftsman_116.jpg","Scandinavian","light blue, white, natural wood","cedar shingles, stone veneer, glass windows and doors","natural light from large windows","calm and welcoming","modern sectional sofa, wooden coffee table, artwork on walls, floor lamp","open floor plan with central living area","This is a modern, Scandinavian-style house featuring light blue exterior siding, white trim, and large windows that allow natural light to fill the space. The interior design includes a mix of light blue walls and wooden accents, creating a calm and welcoming atmosphere. Large windows, skylights, and a vaulted ceiling enhance the open feel of the house."
"craftsman_118.jpg","Contemporary Rustic","light brown, dark green, gray","stone, wood, glass","Warm sunlight from large windows","Cozy and welcoming","wooden front door with glass panels, natural stone fireplace, outdoor porch light, large wicker basket on porch","Open floor plan with stone fireplace as central feature","This two-story house exudes a warm and inviting atmosphere, featuring a rustic design with wood floors, a stone fireplace, and plenty of natural light from large windows."
"craftsman_119.jpg","Modern Minimalist","white, gray, wood","stainless steel, quartz countertops, solid wood cabinets, brushed nickel fixtures","recessed lighting with under-cabinet lights and pendant lamps over the island","clean, bright, and modern","kitchen island, range hood above stove, built-in microwave oven","open layout with central kitchen island","This is a large, modern kitchen with a clean, minimalist design featuring stainless steel appliances, quartz countertops, and solid wood cabinets. The space is illuminated by recessed lighting and pendant lamps, creating a bright and inviting atmosphere."
"craftsman_12.jpg","Scandinavian","white, light wood, gray","wood paneling, stone veneer, glass","Natural soft light from large windows and recessed lights","Clean, bright, and airy with a touch of coziness","Modern sectional sofa, Contemporary coffee table, Mid-Century Modern floor lamp, Large indoor plant, Stainless steel kitchen appliances","Open space with central seating area and stone fireplace","This Scandinavian-style home features a blend of modern and classic elements, with natural materials like wood and stone. The open floor plan leads to the cozy central seating area, while large windows bring in an abundance of soft, natural light."
"craftsman_120.jpg","Modern Minimalist","white, black, gold","marble, wood, steel","recessed lights on ceiling with recessed light panels above mirror and under-cabinet lighting for counter","clean, sleek, and luxurious","round sink with gold fixtures, rectangular mirror, wooden vanity with pullout trays","L-shaped layout with mirror at apex of L","Modern bathroom with black countertop and white marble walls, featuring a round sink with gold fixtures and recessed lighting."
"craftsman_121.jpg","Modern Minimalist","white, blue, green","wood, leather, metal","natural soft light from large windows","calm and airy","sofa, coffee table, plant, floor lamp, bookshelf, vase","open space with central seating area","This modern living room features a minimalist design with a color palette of white, blue, and green. The space is filled with natural light from the large windows, creating a calm and airy atmosphere. There's an open layout with a central seating area comprising a sofa, coffee table, plant, floor lamp, bookshelf, and vase. The materials used are mainly wood, leather, and metal."
"craftsman_122.jpg","Modern","white, beige, wood","oak wood, stainless steel, marble","Recessed ceiling lighting with track and pendant lights","Efficient and inviting","refrigerator, stove top oven, dishwasher, kitchen island, sink","Open concept with a central work triangle around the stove, sink, and refrigerator","Modern kitchen with clean lines, warm wood finishes, and efficient appliances."
"craftsman_125.jpg","Scandinavian","white, light wood","wood, fabric","natural soft light from large windows","calm and airy","sofa, coffee table, books, plant","open space with central seating area","The living room features a Scandinavian design, emphasizing natural light and clean lines. The color palette is kept simple with white walls and a light wood accent. Materials used include wood floors and fabric upholstery on the sofa. A central coffee table holds books and decorative items. Large windows allow for an abundance of natural light, contributing to a calm and airy atmosphere."
